team,teamCn,group,confederation,fifaRank,eloRating,squadValueEur,playerCount,avgAge,corePlayer,formWins,formDraws,formLosses,formRaw,dataStatus
France,法国,I,欧洲,1,2100,1347000000,26,25.3,Kylian Mbappe,9,1,0,9胜1平0负,★已核实
Spain,西班牙,H,欧洲,2,2040,1131000000,26,27.3,Lamine Yamal,8,2,0,8胜2平0负,★已核实
Argentina,阿根廷,J,南美,3,2050,874000000,26,28.9,Lautaro Martinez,9,1,0,9胜1平0负,★已核实
England,英格兰,L,欧洲,4,2000,1448000000,26,26,Jude Bellingham,6,1,2,6胜1平2负,★已核实
Portugal,葡萄牙,K,欧洲,5,1960,1019000000,26,26.7,Ruben Dias,6,0,3,6胜0平3负,★已核实
Brazil,巴西,C,南美,6,1980,1202000000,26,25.7,Vinicius Junior,6,1,2,6胜1平2负,★已核实
Netherlands,荷兰,F,欧洲,7,1940,893000000,26,26.4,Xavi Simons,8,0,1,8胜0平1负,★已核实
Morocco,摩洛哥,C,非洲,8,1840,459500000,26,25.6,Achraf Hakimi,9,3,0,9胜3平0负,★已核实
Belgium,比利时,G,欧洲,9,1890,589000000,26,27.2,Jeremy Doku,6,0,3,6胜0平3负,★已核实
Germany,德国,E,欧洲,10,1900,879000000,26,28.2,Jamal Musiala,7,2,0,7胜2平0负,★已核实
Colombia,哥伦比亚,K,南美,11,1835,331000000,26,28.9,Luis Diaz,6,3,0,6胜3平0负,★已核实
United States,美国,D,中北美,12,1785,442000000,26,25.8,Christian Pulisic,8,2,0,8胜2平0负,★已核实
Senegal,塞内加尔,I,非洲,13,1800,303000000,26,27.6,Nicolas Jackson,5,2,2,5胜2平2负,★已核实
Mexico,墨西哥,A,中北美,14,1735,216000000,26,26.7,Santiago Gimenez,4,0,5,4胜0平5负,★已核实
Uruguay,乌拉圭,H,南美,15,1790,495000000,26,27.3,Federico Valverde,8,2,0,8胜2平0负,★已核实
Norway,挪威,I,欧洲,16,1760,699900000,26,26.6,Mihai,8,1,0,8胜1平0负,预估
Ecuador,厄瓜多尔,E,南美,17,1750,260300000,26,27.1,Moisés Caicedo,6,1,2,6胜1平2负,★已核实
Japan,日本,F,亚洲,18,1755,331500000,26,27,Takefusa Kubo,8,2,0,8胜2平0负,★已核实
Switzerland,瑞士,B,欧洲,19,1720,513000000,26,25.9,Nagy,6,3,0,6胜3平0负,预估
Croatia,克罗地亚,L,欧洲,20,1740,352500000,26,28.1,Josko Gvardiol,4,1,4,4胜1平4负,★已核实
Canada,加拿大,B,中北美,22,1710,186400000,26,27.4,Larin,7,1,1,7胜1平1负,预估
South Korea,韩国,A,亚洲,23,1705,186500000,26,28.9,Kim Min-jae,6,0,3,6胜0平3负,★已核实
Austria,奥地利,J,欧洲,24,1685,147600000,26,27.5,Virtanen,8,0,1,8胜0平1负,预估
Sweden,瑞典,F,欧洲,25,1685,141100000,26,27,Weber,5,1,3,5胜1平3负,预估
Paraguay,巴拉圭,D,南美,26,1680,166600000,26,26.7,Silva,6,1,2,6胜1平2负,预估
Turkey,土耳其,D,欧洲,28,1670,150500000,26,25.8,Ivanov,5,3,1,5胜3平1负,预估
Ghana,加纳,L,非洲,29,1660,164400000,26,26.2,Mokoena,4,0,5,4胜0平5负,预估
Iran,伊朗,G,亚洲,30,1650,142800000,26,28.3,Afif,6,1,2,6胜1平2负,预估
Saudi Arabia,沙特阿拉伯,H,亚洲,31,1645,150200000,26,26.9,Akrami,6,1,2,6胜1平2负,预估
Bosnia and Herzegovina,波黑,B,欧洲,32,1640,148500000,26,28.3,Marino Jr,7,0,2,7胜0平2负,预估
Algeria,阿尔及利亚,J,非洲,33,1635,154200000,26,26.7,Kabore,5,0,4,5胜0平4负,预估
Egypt,埃及,G,非洲,34,1630,159000000,26,27,Sarr,6,1,2,6胜1平2负,预估
Ivory Coast,科特迪瓦,E,非洲,35,1625,144300000,26,27,Talbi,7,2,0,7胜2平0负,预估
Czech Republic,捷克,A,欧洲,36,1620,74800000,26,25.9,Popescu,3,2,4,3胜2平4负,预估
Australia,澳大利亚,D,亚洲,36,1625,80000000,26,26.2,Kanno,3,2,4,3胜2平4负,预估
Jordan,约旦,J,亚洲,37,1615,73300000,26,28.4,Yoshida,4,2,3,4胜2平3负,预估
Tunisia,突尼斯,F,非洲,38,1610,67000000,26,26.8,Iheanacho,5,3,1,5胜3平1负,预估
Uzbekistan,乌兹别克斯坦,K,亚洲,39,1605,78300000,26,26.8,Taremi,6,2,1,6胜2平1负,预估
DR Congo,刚果(金),K,非洲,40,1590,73100000,26,26.5,Osimhen,6,2,1,6胜2平1负,预估
Qatar,卡塔尔,B,亚洲,41,1555,78400000,26,27.8,Al Shehri,4,0,5,4胜0平5负,预估
New Zealand,新西兰,G,大洋洲,42,1540,74700000,26,28,Bell,5,1,3,5胜1平3负,预估
Iraq,伊拉克,I,亚洲,43,1575,86200000,26,27.4,Haydary,4,1,4,4胜1平4负,预估
Scotland,苏格兰,C,欧洲,44,1585,73600000,26,28,Holm,5,0,4,5胜0平4负,预估
South Africa,南非,A,非洲,45,1580,74500000,26,27.2,Seck,4,2,3,4胜2平3负,预估
Cape Verde,佛得角,H,非洲,46,1545,72500000,26,26.3,Bronn,2,1,6,2胜1平6负,预估
Curaçao,库拉索,E,中北美,47,1510,72700000,26,27.8,Johnson,1,2,6,1胜2平6负,预估
Haiti,海地,C,中北美,48,1490,80700000,26,26.5,Hoilett,1,1,7,1胜1平7负,预估
Panama,巴拿马,L,中北美,49,1485,78500000,26,28.3,Quioto,5,2,2,5胜2平2负,预估
