matchId,date,homeTeam,awayTeam,city,country,oddsStatus,weatherStatus,lineupStatus,injuryStatus,downgradeRule,checkedAt
2026-WC-GS-001,2026-06-11,Mexico,South Africa,Mexico City,Mexico,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-002,2026-06-11,South Korea,Czech Republic,Guadalajara,Mexico,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-003,2026-06-12,Canada,Bosnia and Herzegovina,Toronto,Canada,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-004,2026-06-12,United States,Paraguay,Los Angeles,United States,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-005,2026-06-13,Qatar,Switzerland,San Francisco Bay Area,United States,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-006,2026-06-13,Brazil,Morocco,New York New Jersey,United States,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-007,2026-06-13,Haiti,Scotland,Boston,United States,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-008,2026-06-13,Australia,Turkey,Vancouver,Canada,not_found,match_date_past,not_in_lineup_window,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-009,2026-06-14,Germany,Curaçao,Houston,United States,not_found,match_date_past,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-010,2026-06-14,Ivory Coast,Ecuador,Philadelphia,United States,not_found,match_date_past,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-011,2026-06-14,Netherlands,Japan,Dallas,United States,not_found,match_date_past,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-012,2026-06-14,Sweden,Tunisia,Monterrey,Mexico,not_found,match_date_past,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,odds excluded; weather report-only or unavailable; lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-013,2026-06-15,Belgium,Egypt,Seattle,United States,updated,updated,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-014,2026-06-15,Iran,New Zealand,Los Angeles,United States,not_found,updated,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,odds excluded; lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-015,2026-06-15,Spain,Cape Verde,Atlanta,United States,updated,updated,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-016,2026-06-15,Saudi Arabia,Uruguay,Miami,United States,updated,updated,lineup_window_open_manual_or_api_update_needed,no_verified_injury_rows,lineup can be refreshed,2026-06-15T05:05:59.876Z
2026-WC-GS-017,2026-06-16,France,Senegal,New York New Jersey,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-018,2026-06-16,Iraq,Norway,Boston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-019,2026-06-16,Argentina,Algeria,Kansas City,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-020,2026-06-16,Austria,Jordan,San Francisco Bay Area,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-021,2026-06-17,Portugal,DR Congo,Houston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-022,2026-06-17,Uzbekistan,Colombia,Mexico City,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-023,2026-06-17,England,Croatia,Dallas,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-024,2026-06-17,Ghana,Panama,Toronto,Canada,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-025,2026-06-18,Czech Republic,South Africa,Atlanta,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-026,2026-06-18,Mexico,South Korea,Guadalajara,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-027,2026-06-18,Switzerland,Bosnia and Herzegovina,Los Angeles,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-028,2026-06-18,Canada,Qatar,Vancouver,Canada,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-029,2026-06-19,Scotland,Morocco,Boston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-030,2026-06-19,Brazil,Haiti,Philadelphia,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-031,2026-06-19,United States,Australia,Seattle,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-032,2026-06-19,Turkey,Paraguay,San Francisco Bay Area,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-033,2026-06-20,Germany,Ivory Coast,Toronto,Canada,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-034,2026-06-20,Ecuador,Curaçao,Kansas City,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-035,2026-06-20,Netherlands,Sweden,Houston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-036,2026-06-20,Tunisia,Japan,Monterrey,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-037,2026-06-21,Belgium,Iran,Los Angeles,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-038,2026-06-21,New Zealand,Egypt,Vancouver,Canada,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-039,2026-06-21,Spain,Saudi Arabia,Atlanta,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-040,2026-06-21,Uruguay,Cape Verde,Miami,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-041,2026-06-22,France,Iraq,Philadelphia,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-042,2026-06-22,Norway,Senegal,New York New Jersey,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-043,2026-06-22,Argentina,Austria,Dallas,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-044,2026-06-22,Jordan,Algeria,San Francisco Bay Area,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-045,2026-06-23,Portugal,Uzbekistan,Houston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-046,2026-06-23,Colombia,DR Congo,Guadalajara,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-047,2026-06-23,England,Ghana,Boston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-048,2026-06-23,Panama,Croatia,Toronto,Canada,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-049,2026-06-24,Mexico,Czech Republic,Mexico City,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-050,2026-06-24,South Africa,South Korea,Monterrey,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-051,2026-06-24,Canada,Switzerland,Vancouver,Canada,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-052,2026-06-24,Bosnia and Herzegovina,Qatar,Seattle,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-053,2026-06-24,Scotland,Brazil,Miami,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-054,2026-06-24,Morocco,Haiti,Atlanta,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-055,2026-06-25,United States,Turkey,Los Angeles,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-056,2026-06-25,Paraguay,Australia,San Francisco Bay Area,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-057,2026-06-25,Curaçao,Ivory Coast,Philadelphia,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-058,2026-06-25,Ecuador,Germany,New York New Jersey,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-059,2026-06-25,Japan,Sweden,Dallas,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-060,2026-06-25,Tunisia,Netherlands,Kansas City,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-061,2026-06-26,Egypt,Iran,Seattle,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-062,2026-06-26,New Zealand,Belgium,Vancouver,Canada,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-063,2026-06-26,Cape Verde,Saudi Arabia,Houston,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-064,2026-06-26,Uruguay,Spain,Guadalajara,Mexico,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-065,2026-06-26,Norway,France,Boston,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-066,2026-06-26,Senegal,Iraq,Toronto,Canada,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-067,2026-06-27,Algeria,Austria,Kansas City,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-068,2026-06-27,Jordan,Argentina,Dallas,United States,not_found,updated,not_in_lineup_window,no_verified_injury_rows,odds excluded; lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-069,2026-06-27,Colombia,Portugal,Miami,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-070,2026-06-27,DR Congo,Uzbekistan,Atlanta,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-071,2026-06-27,Panama,England,New York New Jersey,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
2026-WC-GS-072,2026-06-27,Croatia,Ghana,Philadelphia,United States,updated,updated,not_in_lineup_window,no_verified_injury_rows,lineup not used until matchday,2026-06-15T05:05:59.876Z
