team,teamId,americanOdds,decimalOdds,impliedProbability,lastUpdated,source
Argentina,arg,+400,5,20.0%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
France,fra,+450,5.5,18.2%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
England,eng,+600,7,14.3%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Brazil,bra,+700,8,12.5%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Spain,esp,+800,9,11.1%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Germany,ger,+1000,11,9.1%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Portugal,por,+1200,13,7.7%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Netherlands,ned,+1400,15,6.7%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
United States,usa,+2000,21,4.8%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Belgium,bel,+2500,26,3.8%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Croatia,cro,+3000,31,3.2%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Uruguay,uru,+4000,41,2.4%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Colombia,col,+5000,51,2.0%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Japan,jpn,+6000,61,1.6%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Mexico,mex,+8000,81,1.2%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
Senegal,sen,+8000,81,1.2%,2026-02-11,"Aggregated from major bookmakers (illustrative, not live)"
